Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_12_0024.c3d,Event7,560.0,628.0,561.0,633.0,111.0,106.0,68.0,72.0,43.0,34.0
TF_12_0025.c3d,Event5,398.0,468.0,403.0,472.0,120.0,119.0,70.0,69.0,50.0,50.0
TF_12_0025.c3d,Event6,453.0,530.0,460.0,553.0,125.0,116.0,77.0,93.0,48.0,23.0
TF_12_0025.c3d,Event7,518.0,583.0,522.0,588.0,110.0,106.0,65.0,66.0,45.0,40.0
TF_12_0025.c3d,Event8,578.0,637.0,576.0,641.0,102.0,104.0,59.0,65.0,43.0,39.0
TF_12_0025.c3d,Event9,628.0,688.0,628.0,690.0,104.0,106.0,60.0,62.0,44.0,44.0
TF_12_0025.c3d,Event10,680.0,,680.0,,,,,,,
TF_12_0025.c3d,Event11,732.0,,734.0,,,,,,,
TF_12_0026.c3d,Event3,344.0,406.0,342.0,403.0,102.0,109.0,62.0,61.0,40.0,48.0
TF_12_0026.c3d,Event4,397.0,460.0,396.0,458.0,106.0,111.0,63.0,62.0,43.0,49.0
TF_12_0026.c3d,Event5,446.0,514.0,451.0,517.0,116.0,112.0,68.0,66.0,48.0,46.0
TF_12_0026.c3d,Event6,503.0,572.0,507.0,580.0,115.0,109.0,69.0,73.0,46.0,36.0
TF_12_0026.c3d,Event7,562.0,624.0,563.0,625.0,107.0,103.0,62.0,62.0,45.0,41.0
TF_13_0023.c3d,Event4,383.0,445.0,392.0,467.0,104.0,101.0,62.0,75.0,42.0,26.0
TF_13_0023.c3d,Event5,433.0,494.0,442.0,494.0,107.0,102.0,61.0,52.0,46.0,50.0
TF_13_0023.c3d,Event6,487.0,552.0,493.0,553.0,104.0,103.0,65.0,60.0,39.0,43.0
TF_13_0024.c3d,Event4,369.0,432.0,380.0,433.0,104.0,98.0,63.0,53.0,41.0,45.0
TF_13_0024.c3d,Event5,419.0,479.0,428.0,484.0,101.0,102.0,60.0,56.0,41.0,46.0
TF_13_0024.c3d,Event6,473.0,536.0,478.0,536.0,102.0,103.0,63.0,58.0,39.0,45.0
TF_13_0024.c3d,Event7,520.0,582.0,530.0,587.0,103.0,99.0,62.0,57.0,41.0,42.0
TF_13_0025.c3d,Event5,373.0,437.0,382.0,439.0,106.0,104.0,64.0,57.0,42.0,47.0
TF_13_0025.c3d,Event6,430.0,491.0,435.0,493.0,102.0,103.0,61.0,58.0,41.0,45.0
TF_13_0025.c3d,Event7,479.0,540.0,486.0,545.0,104.0,103.0,61.0,59.0,43.0,44.0
TF_14_0025.c3d,Event5,402.0,469.0,410.0,474.0,110.0,108.0,67.0,64.0,43.0,44.0
TF_14_0025.c3d,Event6,459.0,520.0,463.0,523.0,106.0,107.0,61.0,60.0,45.0,47.0
TF_14_0025.c3d,Event7,512.0,575.0,518.0,579.0,104.0,102.0,63.0,61.0,41.0,41.0
TF_14_0025.c3d,Event8,565.0,624.0,570.0,630.0,103.0,101.0,59.0,60.0,44.0,41.0
TF_15_0025.c3d,Event4,424.0,499.0,429.0,504.0,121.0,122.0,75.0,75.0,46.0,47.0
TF_15_0025.c3d,Event5,486.0,559.0,493.0,568.0,120.0,114.0,73.0,75.0,47.0,39.0
TF_15_0025.c3d,Event6,545.0,618.0,551.0,623.0,114.0,110.0,73.0,72.0,41.0,38.0
TF_15_0025.c3d,Event7,606.0,670.0,607.0,,110.0,110.0,64.0,,46.0,
TF_15_0026.c3d,Event5,512.0,590.0,515.0,593.0,128.0,128.0,78.0,78.0,50.0,50.0
TF_15_0026.c3d,Event6,579.0,658.0,580.0,655.0,121.0,120.0,79.0,75.0,42.0,45.0
TF_15_0026.c3d,Event7,640.0,708.0,643.0,716.0,116.0,114.0,68.0,73.0,48.0,41.0
TF_15_0027.c3d,Event5,507.0,576.0,513.0,578.0,123.0,119.0,69.0,65.0,54.0,54.0
TF_15_0027.c3d,Event6,567.0,646.0,573.0,647.0,122.0,118.0,79.0,74.0,43.0,44.0
TF_16_0028.c3d,Event2,301.0,348.0,314.0,,94.0,92.0,47.0,,47.0,
