Filename,EventNum,GT ICs,GT FOs,IMU ICs,IMU FOs,GTStrideTime,IMUStrideTime,GTStanceTime,IMUStanceTime,GTSwingTime,IMUSwingTime
TF_06_0013.c3d,Event6,426.0,500.0,424.0,500.0,115.0,117.0,74.0,76.0,41.0,41.0
TF_06_0013.c3d,Event7,485.0,556.0,484.0,554.0,114.0,114.0,71.0,70.0,43.0,44.0
TF_06_0013.c3d,Event8,541.0,613.0,541.0,612.0,114.0,115.0,72.0,71.0,42.0,44.0
TF_06_0013.c3d,Event9,599.0,,598.0,,,,,,,
TF_06_0013.c3d,Event10,655.0,,656.0,,,,,,,
TF_06_0014.c3d,Event1,206.0,277.0,202.0,283.0,119.0,121.0,71.0,81.0,48.0,40.0
TF_06_0014.c3d,Event2,263.0,339.0,263.0,340.0,118.0,117.0,76.0,77.0,42.0,40.0
TF_06_0014.c3d,Event3,325.0,396.0,323.0,395.0,110.0,114.0,71.0,72.0,39.0,42.0
TF_06_0014.c3d,Event4,381.0,453.0,380.0,453.0,121.0,118.0,72.0,73.0,49.0,45.0
TF_06_0014.c3d,Event5,435.0,516.0,437.0,510.0,128.0,124.0,81.0,73.0,47.0,51.0
TF_06_0014.c3d,Event6,502.0,577.0,498.0,579.0,118.0,123.0,75.0,81.0,43.0,42.0
TF_06_0014.c3d,Event7,563.0,636.0,561.0,633.0,119.0,120.0,73.0,72.0,46.0,48.0
TF_06_0014.c3d,Event8,620.0,,621.0,,,,,,,
TF_06_0014.c3d,Event9,682.0,,681.0,,,,,,,
TF_06_0015.c3d,Event1,120.0,192.0,119.0,196.0,117.0,121.0,72.0,77.0,45.0,44.0
TF_06_0015.c3d,Event2,177.0,251.0,180.0,255.0,118.0,120.0,74.0,75.0,44.0,45.0
TF_06_0015.c3d,Event3,237.0,310.0,240.0,311.0,121.0,120.0,73.0,71.0,48.0,49.0
TF_06_0015.c3d,Event4,295.0,372.0,300.0,374.0,121.0,119.0,77.0,74.0,44.0,45.0
TF_06_0015.c3d,Event5,358.0,431.0,360.0,432.0,116.0,117.0,73.0,72.0,43.0,45.0
TF_06_0015.c3d,Event6,416.0,487.0,419.0,488.0,115.0,116.0,71.0,69.0,44.0,47.0
TF_06_0015.c3d,Event7,474.0,545.0,477.0,546.0,117.0,117.0,71.0,69.0,46.0,48.0
TF_06_0015.c3d,Event8,531.0,,535.0,,,,,,,
TF_06_0015.c3d,Event9,591.0,,594.0,,,,,,,
TF_07_0013.c3d,Event1,250.0,330.0,249.0,332.0,128.0,132.0,80.0,83.0,48.0,49.0
TF_07_0013.c3d,Event2,314.0,395.0,316.0,391.0,131.0,129.0,81.0,75.0,50.0,54.0
TF_07_0013.c3d,Event3,378.0,460.0,381.0,457.0,135.0,131.0,82.0,76.0,53.0,55.0
TF_07_0013.c3d,Event4,445.0,529.0,445.0,525.0,134.0,133.0,84.0,80.0,50.0,53.0
TF_07_0013.c3d,Event5,513.0,592.0,512.0,591.0,129.0,132.0,79.0,79.0,50.0,53.0
TF_07_0013.c3d,Event6,579.0,,578.0,,,,,,,
TF_07_0013.c3d,Event7,642.0,,644.0,,,,,,,
TF_07_0014.c3d,Event1,308.0,386.0,307.0,383.0,125.0,126.0,78.0,76.0,47.0,50.0
TF_07_0014.c3d,Event2,372.0,444.0,370.0,442.0,125.0,125.0,72.0,72.0,53.0,53.0
TF_07_0014.c3d,Event3,433.0,509.0,433.0,507.0,126.0,124.0,76.0,74.0,50.0,50.0
TF_07_0014.c3d,Event4,497.0,,495.0,,,,,,,
TF_07_0014.c3d,Event5,559.0,,557.0,,,,,,,
TF_07_0015.c3d,Event1,232.0,311.0,235.0,310.0,128.0,126.0,79.0,75.0,49.0,51.0
TF_07_0015.c3d,Event2,298.0,372.0,297.0,373.0,124.0,125.0,74.0,76.0,50.0,49.0
